run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    hot-only  65           64              64                   48                    0.142 s       9986                58821.58 us   104911.00 us  118384.00 us  274.48 MB/s     0.00 MB/s        0                  0
1    mixed     65           64              64                   48                    2.778 s       10000               268701.27 us  354699.00 us  376246.00 us  14.06 MB/s      2698.99 MB/s     0                  0
1    strong-i  65           64              64                   48                    3.191 s       10000               35105.60 us   56968.00 us   61541.00 us   12.24 MB/s      2349.85 MB/s     0                  0
2    hot-only  65           64              64                   48                    0.138 s       9987                58566.75 us   103422.00 us  110770.00 us  282.96 MB/s     0.00 MB/s        0                  0
2    mixed     65           64              64                   48                    2.780 s       10000               311043.94 us  392493.00 us  407614.00 us  14.05 MB/s      2697.86 MB/s     0                  0
2    strong-i  65           64              64                   48                    2.348 s       10000               40167.48 us   48604.00 us   52603.00 us   16.64 MB/s      3193.89 MB/s     0                  0
3    hot-only  65           64              64                   48                    0.150 s       9987                58541.59 us   105097.00 us  119362.00 us  260.06 MB/s     0.00 MB/s        0                  0
3    mixed     65           64              64                   48                    2.976 s       10000               398190.31 us  552672.00 us  565109.00 us  13.13 MB/s      2519.85 MB/s     0                  0
3    strong-i  65           64              64                   48                    2.665 s       10000               39084.49 us   53255.00 us   57457.00 us   14.66 MB/s      2813.51 MB/s     0                  0
4    hot-only  65           64              64                   48                    0.153 s       9991                59234.64 us   106941.00 us  130142.00 us  255.74 MB/s     0.00 MB/s        0                  0
4    mixed     65           64              64                   48                    2.773 s       10000               315235.14 us  408967.00 us  421901.00 us  14.09 MB/s      2704.16 MB/s     0                  0
4    strong-i  65           64              64                   48                    2.645 s       10000               29624.10 us   49331.00 us   53275.00 us   14.77 MB/s      2835.20 MB/s     0                  0
5    hot-only  65           64              64                   48                    0.146 s       9994                55081.11 us   103170.00 us  113357.00 us  268.15 MB/s     0.00 MB/s        0                  0
5    mixed     65           64              64                   48                    3.141 s       10000               403404.36 us  517524.00 us  536130.00 us  12.44 MB/s      2387.29 MB/s     0                  0
5    strong-i  65           64              64                   48                    2.441 s       10000               35765.85 us   58304.00 us   77862.00 us   16.00 MB/s      3071.48 MB/s     0                  0
