run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	128	128	128	96	0.146 s	9999	61269.58 us	113547.00 us	123411.00 us	268.03 MB/s	0.00 MB/s	0	0
1	mixed	128	128	128	96	2.945 s	10000	507866.77 us	765965.00 us	793214.00 us	13.26 MB/s	2546.20 MB/s	0	0
1	strong-i	128	128	128	96	2.309 s	10000	71826.02 us	123956.00 us	131978.00 us	16.92 MB/s	3248.26 MB/s	0	0
2	hot-only	128	128	128	96	0.141 s	9999	63077.00 us	118143.00 us	125620.00 us	276.18 MB/s	0.00 MB/s	0	0
2	mixed	128	128	128	96	3.061 s	10000	505973.50 us	748968.00 us	766103.00 us	12.76 MB/s	2449.68 MB/s	0	0
2	strong-i	128	128	128	96	2.466 s	10000	89709.47 us	139022.00 us	144007.00 us	15.84 MB/s	3041.10 MB/s	0	0
3	hot-only	128	128	128	96	0.139 s	10000	62250.79 us	115446.00 us	124606.00 us	280.61 MB/s	0.00 MB/s	0	0
3	mixed	128	128	128	96	2.886 s	10000	567965.16 us	911001.00 us	918407.00 us	13.54 MB/s	2598.52 MB/s	0	0
3	strong-i	128	128	128	96	2.473 s	10000	97064.94 us	129457.00 us	131741.00 us	15.80 MB/s	3033.03 MB/s	0	0
4	hot-only	128	128	128	96	0.145 s	10000	62575.84 us	117408.00 us	128535.00 us	269.76 MB/s	0.00 MB/s	0	0
4	mixed	128	128	128	96	2.891 s	10000	538267.87 us	821552.00 us	848727.00 us	13.51 MB/s	2593.69 MB/s	0	0
4	strong-i	128	128	128	96	2.554 s	10000	92944.66 us	135859.00 us	156276.00 us	15.29 MB/s	2935.91 MB/s	0	0
5	hot-only	128	128	128	96	0.149 s	10000	61342.34 us	116479.00 us	128140.00 us	262.41 MB/s	0.00 MB/s	0	0
5	mixed	128	128	128	96	2.016 s	10000	350976.70 us	518727.00 us	537566.00 us	19.37 MB/s	3718.69 MB/s	0	0
5	strong-i	128	128	128	96	2.423 s	10000	87093.41 us	127678.00 us	138580.00 us	16.12 MB/s	3095.02 MB/s	0	0
