source	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	strong_cold_ratio	mode	runs	elapsed_time_mean_s	total_hot_requests_mean	avg_latency_mean_us	avg_latency_std_us	p95_mean_us	p95_std_us	p99_mean_us	p99_std_us	hot_throughput_mean_mb_s	hot_throughput_std_mb_s	cold_throughput_mean_mb_s	cold_throughput_std_mb_s	hot_thread_errors_sum	cold_thread_errors_sum
20260417-025935	32	32	32	16	0.50	hot-only	5	5.041	338048.00	19059.99	3477.16	69968.20	8762.91	105503.60	21213.81	261.96	28.55	0.00	0.00	0	0
20260417-025935	32	32	32	16	0.50	mixed	5	5.115	46732.00	126726.84	49098.41	280577.20	82379.23	326535.20	101865.96	35.74	6.77	3252.60	314.00	0	0
20260417-025935	32	32	32	16	0.50	strong-i	5	5.052	128679.80	16243.45	6883.51	31244.60	5717.51	34337.00	5971.53	99.51	23.19	2882.01	440.41	0	0
20260417-030546	32	32	32	24	0.75	hot-only	5	5.055	381087.00	18374.89	2944.60	62456.00	2877.22	98769.60	17574.88	294.51	7.72	0.00	0.00	0	0
20260417-030546	32	32	32	24	0.75	mixed	5	5.135	41528.00	170678.89	94349.23	294245.80	119091.31	336548.00	127185.79	31.62	5.23	2971.26	369.08	0	0
20260417-030546	32	32	32	24	0.75	strong-i	5	5.056	154705.40	13599.91	1617.83	27823.80	1680.22	31447.40	2107.19	119.53	16.01	3142.98	211.30	0	0
20260417-031004	16	16	16	12	0.75	hot-only	5	5.027	397245.00	10902.09	1659.97	30123.20	3657.65	38752.40	4406.84	308.69	37.31	0.00	0.00	0	0
20260417-031004	16	16	16	12	0.75	mixed	5	5.053	44061.20	40366.91	8976.83	165710.80	22249.37	208285.60	18108.56	34.08	6.43	3157.19	180.02	0	0
20260417-031004	16	16	16	12	0.75	strong-i	5	5.047	130881.60	14611.65	5044.86	27164.00	3284.71	29776.60	2317.89	101.31	16.41	3044.14	493.11	0	0
20260417-031422	16	16	16	8	0.50	hot-only	5	5.028	372082.80	11887.93	978.08	31866.80	1144.44	41039.20	1562.88	289.07	7.86	0.00	0.00	0	0
20260417-031422	16	16	16	8	0.50	mixed	5	5.049	43945.60	37978.38	8067.18	169650.40	18241.57	202629.20	22082.83	34.01	4.48	3257.75	299.18	0	0
20260417-031422	16	16	16	8	0.50	strong-i	5	5.041	131737.60	16813.57	8077.72	27426.00	6010.27	28700.40	5227.78	102.05	31.10	3065.01	173.43	0	0
20260417-032941	64	64	64	48	0.75	hot-only	5	5.095	373689.20	84822.67	12576.27	135621.00	4520.13	284309.80	50071.86	286.43	13.74	0.00	0.00	0	0
20260417-032941	64	64	64	48	0.75	mixed	5	5.222	47858.80	389041.55	131370.92	554092.40	192434.03	580605.60	203886.79	35.80	1.06	3165.48	131.29	0	0
20260417-032941	64	64	64	48	0.75	strong-i	5	5.068	97344.00	32201.68	4007.05	43233.60	2246.09	47308.20	4019.96	75.04	3.39	3102.22	201.95	0	0
