=== strong-i / hot budget ~= 10000 ===

source           queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  strong_cold_ratio  mode      runs  elapsed_time_mean_s  total_hot_requests_mean  avg_latency_mean_us  avg_latency_std_us  p95_mean_us  p95_std_us  p99_mean_us  p99_std_us  hot_throughput_mean_mb_s  hot_throughput_std_mb_s  cold_throughput_mean_mb_s  cold_throughput_std_mb_s  hot_thread_errors_sum  cold_thread_errors_sum
---------------  -----------  --------------  -------------------  --------------------  -----------------  --------  ----  -------------------  -----------------------  -------------------  ------------------  -----------  ----------  -----------  ----------  ------------------------  -----------------------  -------------------------  ------------------------  ---------------------  ----------------------
20260419-051215  16           16              16                   16                    1.00               strong-i  5     2.308                10000.00                 11721.67             2297.60             19386.20     2538.58     21600.80     2214.82     16.95                     0.76                     3253.91                    145.09                    0                      0                     
20260419-013331  17           16              16                   8                     0.50               strong-i  5     2.328                10000.00                 13668.03             3060.31             21887.20     3587.73     24726.60     3608.82     16.83                     1.04                     3231.74                    198.80                    0                      0                     
20260419-012959  17           16              16                   12                    0.75               strong-i  5     2.993                10000.00                 15312.08             5617.79             23323.20     6377.65     26576.20     5116.85     13.49                     2.63                     2590.27                    505.02                    0                      0                     
20260419-051215  32           32              32                   32                    1.00               strong-i  5     2.524                10000.00                 12321.21             2812.93             24104.40     3689.18     31035.80     4393.69     15.50                     0.72                     2976.41                    139.23                    0                      0                     
20260419-012256  33           32              32                   16                    0.50               strong-i  5     2.608                10000.00                 14465.29             4170.45             25180.60     5495.20     29780.20     5556.67     15.16                     1.77                     2909.27                    340.31                    0                      0                     
20260419-012626  33           32              32                   24                    0.75               strong-i  5     2.829                10000.00                 15692.16             2691.24             27932.20     3036.42     30516.20     2285.89     14.03                     2.12                     2692.82                    407.11                    0                      0                     
20260419-051215  64           64              64                   64                    1.00               strong-i  5     2.457                10000.00                 74709.95             6718.59             103055.40    4838.14     113161.20    13239.60    15.92                     0.67                     3056.97                    129.34                    0                      0                     
20260419-013745  65           64              64                   32                    0.50               strong-i  5     2.539                10000.00                 17359.89             4854.51             33045.20     8790.26     46695.60     13504.83    15.90                     3.37                     3053.51                    646.32                    0                      0                     
20260419-014109  65           64              64                   48                    0.75               strong-i  5     2.658                10000.00                 35949.50             4134.49             53292.40     4367.53     60547.60     10323.93    14.86                     1.69                     2852.79                    323.64                    0                      0                     
20260419-031650  128          128             128                  64                    0.50               strong-i  5     2.631                10000.00                 87156.29             15353.71            144210.20    26174.74    150326.60    27241.69    15.20                     2.59                     2917.07                    497.21                    0                      0                     
20260419-032120  128          128             128                  96                    0.75               strong-i  5     2.445                10000.00                 87727.70             9638.39             131194.40    6140.19     140516.40    10176.09    15.99                     0.60                     3070.66                    114.65                    0                      0                     
20260419-051215  128          128             128                  128                   1.00               strong-i  5     2.438                10000.00                 92019.92             12406.09            127017.00    12016.32    133447.20    11896.34    16.09                     1.12                     3089.02                    216.00                    0                      0                     
