=== strong-i / timed run ~= 5s ===

source           queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  strong_cold_ratio  mode      runs  elapsed_time_mean_s  total_hot_requests_mean  avg_latency_mean_us  avg_latency_std_us  p95_mean_us  p95_std_us  p99_mean_us  p99_std_us  hot_throughput_mean_mb_s  hot_throughput_std_mb_s  cold_throughput_mean_mb_s  cold_throughput_std_mb_s  hot_thread_errors_sum  cold_thread_errors_sum
---------------  -----------  --------------  -------------------  --------------------  -----------------  --------  ----  -------------------  -----------------------  -------------------  ------------------  -----------  ----------  -----------  ----------  ------------------------  -----------------------  -------------------------  ------------------------  ---------------------  ----------------------
20260417-031422  16           16              16                   8                     0.50               strong-i  5     5.041                131737.60                16813.57             8077.72             27426.00     6010.27     28700.40     5227.78     102.05                    31.10                    3065.01                    173.43                    0                      0                     
20260417-031004  16           16              16                   12                    0.75               strong-i  5     5.047                130881.60                14611.65             5044.86             27164.00     3284.71     29776.60     2317.89     101.31                    16.41                    3044.14                    493.11                    0                      0                     
20260419-050155  16           16              16                   16                    1.00               strong-i  5     5.042                142731.00                12993.50             5840.78             23759.40     3647.54     27710.80     1983.74     112.31                    19.81                    3241.92                    238.85                    0                      0                     
20260417-025935  32           32              32                   16                    0.50               strong-i  5     5.052                128679.80                16243.45             6883.51             31244.60     5717.51     34337.00     5971.53     99.51                     23.19                    2882.01                    440.41                    0                      0                     
20260417-030546  32           32              32                   24                    0.75               strong-i  5     5.056                154705.40                13599.91             1617.83             27823.80     1680.22     31447.40     2107.19     119.53                    16.01                    3142.98                    211.30                    0                      0                     
20260419-050155  32           32              32                   32                    1.00               strong-i  5     5.070                130491.20                17109.63             4125.00             29668.00     3417.66     33865.00     1836.44     100.55                    15.80                    3037.60                    184.01                    0                      0                     
20260417-033525  64           64              64                   32                    0.50               strong-i  5     5.077                135536.00                21755.97             6573.22             41108.20     11755.95    56747.40     10972.29    104.32                    25.21                    1579.69                    216.79                    0                      0                     
20260417-032941  64           64              64                   48                    0.75               strong-i  5     5.068                97344.00                 32201.68             4007.05             43233.60     2246.09     47308.20     4019.96     75.04                     3.39                     3102.22                    201.95                    0                      0                     
20260419-050155  64           64              64                   64                    1.00               strong-i  5     5.090                41516.40                 74737.63             9958.87             103625.00    14052.70    112511.80    15252.01    31.86                     3.68                     3019.38                    350.48                    0                      0                     
20260417-034056  128          128             128                  64                    0.50               strong-i  5     5.084                44324.00                 84699.23             12779.18            127366.60    3194.86     139664.80    2995.20     34.06                     1.28                     3228.67                    122.96                    0                      0                     
20260417-034514  128          128             128                  96                    0.75               strong-i  5     5.097                43163.20                 96438.97             10270.24            132985.60    7726.30     142714.00    8894.63     33.08                     1.51                     3144.67                    145.76                    0                      0                     
20260419-050155  128          128             128                  128                   1.00               strong-i  5     5.114                44284.80                 101135.37            17103.79            130215.00    8801.25     136707.40    9970.86     33.83                     2.26                     3221.72                    231.24                    0                      0                     
