run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            1           15           5.062 s       65520               5396.94 us    7559.00 us    9572.00 us    50.56 MB/s      3153.93 MB/s     1                  0
1    strong-i  32           32              32                   32                    4            12            1           15           5.061 s       65504               5719.22 us    8013.00 us    12210.00 us   50.56 MB/s      3236.89 MB/s     1                  0
1    strong-i  64           64              64                   64                    4            12            1           15           5.088 s       9175                107037.57 us  120449.00 us  128079.00 us  7.04 MB/s       3340.70 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            1           15           5.140 s       7815                167991.68 us  196499.00 us  204399.00 us  5.94 MB/s       2832.96 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            1           15           5.051 s       65520               5608.28 us    7312.00 us    8578.00 us    50.67 MB/s      3187.19 MB/s     1                  0
2    strong-i  32           32              32                   32                    4            12            1           15           5.080 s       65504               7635.77 us    8724.00 us    10783.00 us   50.37 MB/s      3244.48 MB/s     1                  0
2    strong-i  64           64              64                   64                    4            12            1           15           5.116 s       7882                124666.92 us  145674.00 us  156759.00 us  6.02 MB/s       2831.85 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            1           15           5.127 s       9071                144395.89 us  161177.00 us  177231.00 us  6.91 MB/s       3300.08 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            1           15           5.048 s       65520               6377.14 us    8103.00 us    9789.00 us    50.71 MB/s      3235.11 MB/s     1                  0
3    strong-i  32           32              32                   32                    4            12            1           15           5.069 s       65504               5082.40 us    6733.00 us    10996.00 us   50.48 MB/s      3190.11 MB/s     1                  0
3    strong-i  64           64              64                   64                    4            12            1           15           5.097 s       8991                109244.89 us  126109.00 us  135907.00 us  6.89 MB/s       3250.68 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            1           15           5.124 s       8903                147082.62 us  161163.00 us  173411.00 us  6.79 MB/s       3235.77 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            1           15           5.063 s       65520               4630.77 us    5962.00 us    8842.00 us    50.56 MB/s      3138.79 MB/s     1                  0
4    strong-i  32           32              32                   32                    4            12            1           15           5.090 s       65504               4661.76 us    6925.00 us    9302.00 us    50.27 MB/s      3103.73 MB/s     1                  0
4    strong-i  64           64              64                   64                    4            12            1           15           5.117 s       9247                106424.16 us  115454.00 us  131598.00 us  7.06 MB/s       3359.15 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            1           15           5.117 s       8839                148021.77 us  164126.00 us  181517.00 us  6.75 MB/s       3221.39 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            1           15           5.035 s       65520               4752.71 us    6973.00 us    7680.00 us    50.83 MB/s      3265.88 MB/s     1                  0
5    strong-i  32           32              32                   32                    4            12            1           15           5.058 s       65504               6787.00 us    8607.00 us    9912.00 us    50.58 MB/s      3330.18 MB/s     1                  0
5    strong-i  64           64              64                   64                    4            12            1           15           5.106 s       8511                115570.21 us  127535.00 us  155986.00 us  6.51 MB/s       3097.57 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            1           15           5.137 s       8759                149552.04 us  161658.00 us  174936.00 us  6.66 MB/s       3182.26 MB/s     0                  0
