run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency  p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            5           11           5.038 s       126464              18269.45 us  37917.00 us   39294.00 us   98.05 MB/s      3195.22 MB/s     0                  0
1    strong-i  32           32              32                   32                    4            12            5           11           5.062 s       119661              22811.93 us  41955.00 us   45618.00 us   92.35 MB/s      1869.64 MB/s     0                  0
1    strong-i  64           64              64                   64                    4            12            5           11           5.048 s       61341               63689.01 us  85457.00 us   95432.00 us   47.47 MB/s      3207.08 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            5           11           5.111 s       53287               73854.30 us  128733.00 us  138383.00 us  40.73 MB/s      2852.80 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            5           11           5.057 s       112659              24221.85 us  35099.00 us   37259.00 us   87.02 MB/s      2919.96 MB/s     0                  0
2    strong-i  32           32              32                   32                    4            12            5           11           5.074 s       168628              11147.17 us  27881.00 us   34071.00 us   129.82 MB/s     1991.55 MB/s     0                  0
2    strong-i  64           64              64                   64                    4            12            5           11           5.053 s       63355               52046.80 us  80325.00 us   85510.00 us   48.98 MB/s      3333.15 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            5           11           5.095 s       67875               76370.73 us  101471.00 us  107921.00 us  52.04 MB/s      3649.76 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            5           11           5.044 s       103403              28750.68 us  38428.00 us   39207.00 us   80.07 MB/s      3216.17 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            5           11           5.069 s       139508              20065.18 us  39519.00 us   44227.00 us   107.51 MB/s     1888.15 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            5           11           5.105 s       50217               70385.23 us  104405.00 us  109138.00 us  38.43 MB/s      2553.25 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            5           11           5.098 s       59677               82614.56 us  115501.00 us  124735.00 us  45.72 MB/s      3205.50 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            5           11           5.027 s       123854              20995.22 us  33894.00 us   36758.00 us   96.24 MB/s      3274.49 MB/s     0                  0
4    strong-i  32           32              32                   32                    4            12            5           11           5.091 s       137556              16926.22 us  33804.00 us   36364.00 us   105.54 MB/s     1838.51 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            5           11           5.077 s       58685               66921.52 us  91291.00 us   97282.00 us   45.16 MB/s      3015.53 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            5           11           5.107 s       55715               91611.42 us  132691.00 us  149188.00 us  42.62 MB/s      2986.36 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            5           11           5.043 s       104304              20209.77 us  36100.00 us   37387.00 us   80.79 MB/s      3138.41 MB/s     0                  0
5    strong-i  32           32              32                   32                    4            12            5           11           5.078 s       114526              21433.11 us  41412.00 us   48960.00 us   88.09 MB/s      1831.72 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            5           11           5.044 s       77595               51607.02 us  68180.00 us   73123.00 us   60.10 MB/s      3960.83 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            5           11           5.111 s       58395               90357.04 us  119119.00 us  127532.00 us  44.63 MB/s      3127.16 MB/s     0                  0
