profile	layout	source_count	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	runs	elapsed_time_mean_s	total_hot_requests_mean	avg_latency_mean_us	p95_mean_us	p99_mean_us	hot_throughput_mean_mb_s	cold_throughput_mean_mb_s	hot_thread_errors_sum	cold_thread_errors_sum
1to1	1:15	1	16	16	16	16	5	5.052	65520.00	5353.17	7181.80	8892.20	50.67	3196.18	5	0
1to1	1:15	1	32	32	32	32	5	5.072	65504.00	5977.23	7800.40	10640.60	50.45	3221.08	5	0
1to1	1:15	1	64	64	64	64	5	5.105	8761.20	112588.75	127044.20	141665.80	6.70	3175.99	0	0
1to1	1:15	1	128	128	128	128	5	5.129	8677.40	151408.80	168924.60	182298.80	6.61	3154.49	0	0
1to1	2:14	1	16	16	16	16	5	5.042	125670.40	7167.23	13427.00	14310.60	97.34	3159.77	6	0
1to1	2:14	1	32	32	32	32	5	5.071	118970.80	10549.60	16389.40	17350.40	91.65	3090.57	3	0
1to1	2:14	1	64	64	64	64	5	5.098	19318.40	76250.33	114752.80	124342.00	14.81	3292.12	0	0
1to1	2:14	1	128	128	128	128	5	5.126	19210.80	119983.14	153353.20	162056.60	14.64	3253.61	0	0
1to1	3:13	1	16	16	16	16	5	5.045	150723.40	9410.55	18354.80	21904.60	116.70	3152.59	0	0
1to1	3:13	1	32	32	32	32	5	5.083	176049.20	8078.18	18346.40	22510.00	135.30	2963.54	0	0
1to1	3:13	1	64	64	64	64	5	5.091	29272.80	80654.84	110749.80	119299.80	22.47	3091.05	0	0
1to1	3:13	1	128	128	128	128	5	5.114	30428.00	98994.49	139787.60	150829.60	23.24	3195.78	0	0
1to1	4:12	1	16	16	16	16	5	5.053	145168.80	12491.34	24794.80	28324.40	112.17	3141.96	0	0
1to1	4:12	1	32	32	32	32	5	5.083	158519.20	12332.54	24651.80	29097.40	121.77	2758.94	0	0
1to1	4:12	1	64	64	64	64	5	5.086	40889.60	75739.57	105671.20	112422.40	31.42	2983.73	0	0
1to1	4:12	1	128	128	128	128	5	5.122	42522.40	97411.66	133804.60	141178.20	32.43	3087.46	0	0
1to1	5:11	1	16	16	16	16	5	5.042	114136.80	22489.39	36287.60	37981.00	88.43	3148.85	0	0
1to1	5:11	1	32	32	32	32	5	5.075	135975.80	18476.72	36914.20	41848.00	104.66	1883.91	0	0
1to1	5:11	1	64	64	64	64	5	5.065	62238.60	60929.92	85931.60	92097.00	48.03	3213.97	0	0
1to1	5:11	1	128	128	128	128	5	5.104	58989.80	82961.61	119503.00	129551.80	45.15	3164.32	0	0
1to1	6:10	1	16	16	16	16	5	5.039	154609.80	19011.39	36028.80	42242.80	119.86	3043.59	0	0
1to1	6:10	1	32	32	32	32	5	5.074	164721.20	18199.39	36870.60	42409.00	126.82	1695.27	0	0
1to1	6:10	1	64	64	64	64	5	5.051	91433.40	48711.81	68806.20	76104.00	70.72	3333.00	0	0
1to1	6:10	1	128	128	128	128	5	5.098	76180.00	70843.97	109026.00	117432.60	58.37	3098.87	0	0
1to1	7:9	1	16	16	16	16	5	5.038	166816.40	18061.39	35210.80	41008.80	129.39	3123.80	0	0
1to1	7:9	1	32	32	32	32	5	5.072	152151.40	25525.67	47951.40	57584.80	117.19	1559.91	0	0
1to1	7:9	1	64	64	64	64	5	5.043	120585.40	39915.65	60700.40	69856.40	93.41	3092.60	0	0
1to1	7:9	1	128	128	128	128	5	5.088	100091.20	61195.28	95628.60	104879.20	76.84	3148.60	0	0
